Format,Player,Runs,Mins,BF,4s,6s,SR,Inns,Unnamed: 8,Opposition,Ground,Start Date,Unnamed: 12
ODI,SLV Raju,DNB,-,-,-,-,-,2,,v Bangladesh,Chandigarh,25 Dec 1990,
ODI,AS Wassan,DNB,-,-,-,-,-,2,,v Bangladesh,Chandigarh,25 Dec 1990,
ODI,SP Mukherjee,DNB,-,-,-,-,-,2,,v Bangladesh,Chandigarh,25 Dec 1990,
ODI,N Kapil Dev,DNB,-,-,-,-,-,2,,v Sri Lanka,Eden Gardens,4 Jan 1991,
ODI,M Prabhakar,DNB,-,-,-,-,-,2,,v Sri Lanka,Eden Gardens,4 Jan 1991,
ODI,KS More,DNB,-,-,-,-,-,2,,v Sri Lanka,Eden Gardens,4 Jan 1991,
ODI,SLV Raju,DNB,-,-,-,-,-,2,,v Sri Lanka,Eden Gardens,4 Jan 1991,
ODI,AS Wassan,DNB,-,-,-,-,-,2,,v Sri Lanka,Eden Gardens,4 Jan 1991,
ODI,SP Mukherjee,DNB,-,-,-,-,-,2,,v Sri Lanka,Eden Gardens,4 Jan 1991,
ODI,M Prabhakar,DNB,-,-,-,-,-,1,,v Pakistan,Sharjah,18 Oct 1991,
