Format,Player,Overs,Mdns,Runs,Wkts,Econ,Inns,Unnamed: 7,Opposition,Ground,Start Date,Unnamed: 11
T20,RR Pant,DNB,-,-,-,-,1,,v West Indies,Eden Gardens,4 Nov 2018,
T20,KD Karthik,DNB,-,-,-,-,2,,v West Indies,Lucknow,6 Nov 2018,
T20,S Dhawan,DNB,-,-,-,-,2,,v West Indies,Lucknow,6 Nov 2018,
T20,RG Sharma,DNB,-,-,-,-,2,,v West Indies,Lucknow,6 Nov 2018,
T20,MK Pandey,DNB,-,-,-,-,2,,v West Indies,Lucknow,6 Nov 2018,
T20,KL Rahul,DNB,-,-,-,-,2,,v West Indies,Lucknow,6 Nov 2018,
T20,RR Pant,DNB,-,-,-,-,2,,v West Indies,Lucknow,6 Nov 2018,
T20,KD Karthik,DNB,-,-,-,-,1,,v West Indies,Chennai,11 Nov 2018,
T20,S Dhawan,DNB,-,-,-,-,1,,v West Indies,Chennai,11 Nov 2018,
T20,RG Sharma,DNB,-,-,-,-,1,,v West Indies,Chennai,11 Nov 2018,
T20,MK Pandey,DNB,-,-,-,-,1,,v West Indies,Chennai,11 Nov 2018,
T20,KL Rahul,DNB,-,-,-,-,1,,v West Indies,Chennai,11 Nov 2018,
T20,RR Pant,DNB,-,-,-,-,1,,v West Indies,Chennai,11 Nov 2018,
T20,KD Karthik,DNB,-,-,-,-,1,,v Australia,Brisbane,21 Nov 2018,
T20,S Dhawan,DNB,-,-,-,-,1,,v Australia,Brisbane,21 Nov 2018,
T20,RG Sharma,DNB,-,-,-,-,1,,v Australia,Brisbane,21 Nov 2018,
T20,V Kohli,DNB,-,-,-,-,1,,v Australia,Brisbane,21 Nov 2018,
T20,KL Rahul,DNB,-,-,-,-,1,,v Australia,Brisbane,21 Nov 2018,
T20,RR Pant,DNB,-,-,-,-,1,,v Australia,Brisbane,21 Nov 2018,
T20,KD Karthik,DNB,-,-,-,-,1,,v Australia,Melbourne,23 Nov 2018,
T20,S Dhawan,DNB,-,-,-,-,1,,v Australia,Melbourne,23 Nov 2018,
T20,RG Sharma,DNB,-,-,-,-,1,,v Australia,Melbourne,23 Nov 2018,
T20,V Kohli,DNB,-,-,-,-,1,,v Australia,Melbourne,23 Nov 2018,
T20,KL Rahul,DNB,-,-,-,-,1,,v Australia,Melbourne,23 Nov 2018,
T20,RR Pant,DNB,-,-,-,-,1,,v Australia,Melbourne,23 Nov 2018,
T20,KD Karthik,DNB,-,-,-,-,1,,v Australia,Sydney,25 Nov 2018,
T20,S Dhawan,DNB,-,-,-,-,1,,v Australia,Sydney,25 Nov 2018,
T20,RG Sharma,DNB,-,-,-,-,1,,v Australia,Sydney,25 Nov 2018,
T20,V Kohli,DNB,-,-,-,-,1,,v Australia,Sydney,25 Nov 2018,
T20,KL Rahul,DNB,-,-,-,-,1,,v Australia,Sydney,25 Nov 2018,
T20,RR Pant,DNB,-,-,-,-,1,,v Australia,Sydney,25 Nov 2018,
T20,MS Dhoni,DNB,-,-,-,-,1,,v New Zealand,Wellington,6 Feb 2019,
T20,KD Karthik,DNB,-,-,-,-,1,,v New Zealand,Wellington,6 Feb 2019,
